z	96.16136519033523
a	146.90719390733514
v	176.4589647454402
e	160.33984202519818
t	138.34599195782405
O	122.34411835947392
m	159.48081208685716
S	157.86987951687593
p	142.86480760958187
b	100.16883327100183
l	163.6283418443199
tS	126.16038764891334
E	144.02240992476592
n	99.28266338105377
i	93.28037202157532
j	95.3904696320775
s	111.46042274836238
w	105.4126874624095
d	144.98985094065242
W	108.77656844254733
o	164.17651456903383
@	123.0226568926162
r	111.58140513666704
k	479.1844256892672
g	97.71357603546834
u	148.10584433581073
ts	110.94925789464746
x	292.9820057079057
